600674-000027,0.956257,0.804368,0.012055,:,1.649005,0.057009,4.776374,-0.016722
601388-002011,0.991942,0.128576,0.02218,:,1.507999,0.101052,5.398295,-0.007113
000671-000540,0.835451,0.785208,0.023914,:,1.565183,0.041288,4.851374,-0.006592
600266-600120,0.919414,-0.023753,0.021309,:,1.542516,0.107013,3.632602,-0.006477
600694-600120,0.746284,1.449859,0.020987,:,1.596824,0.048545,3.730359,-0.00596
600741-000625,0.93084,0.055985,0.027175,:,1.636624,0.064115,3.165996,-0.00558
000963-000028,0.757465,0.962013,0.027818,:,1.609879,0.074667,3.400637,-0.005521
600594-600535,0.75875,0.60011,0.026189,:,1.587777,0.052949,3.165759,-0.00504
600502-600116,0.75894,0.356744,0.022878,:,1.546559,0.049994,3.894763,-0.005032
601169-000895,1.0573,-1.966146,0.028097,:,1.664449,0.0418,5.913364,-0.004506
